KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
1024,131072,110000000,1734443116141,0,1776,1776
10240,1310720,110000000,1734443420302,17,4666,4683
51200,6553600,110000000,1734443448394,72,6000,6072
102400,13107200,110000000,1734443474814,150,6483,6633
256000,32768000,110000000,1734443495929,367,6848,7215
512000,65536000,110000000,1734443509621,717,7092,7809
1048576,134217728,110000000,1734443526507,1453,7805,9258
